City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Raudeberg,NO,61.99,5.14,43.47,72,58,8.79,broken clouds
318,Aykhal,RU,66.0,111.5,-28.66,100,97,10.33,overcast clouds
319,Tura,IN,25.52,90.22,63.39,81,1,3.4,clear sky
320,Pascagoula,US,30.37,-88.56,71.65,93,40,5.75,scattered clouds
321,Villa Del Rosario,CO,7.83,-72.47,73.78,100,75,6.91,fog
322,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,85.8,74,40,5.75,scattered clouds
323,Jinka,ET,5.65,36.65,73.24,36,81,2.68,broken clouds
324,Sedalia,US,38.7,-93.23,27.75,59,0,11.5,clear sky
325,Nsanje,MW,-16.92,35.26,74.84,82,68,4.7,light rain
326,Strone,GB,55.99,-4.91,43.72,88,100,1.99,light rain
327,Constitucion,CL,-35.33,-72.42,63.95,65,16,15.61,few clouds
328,Jiayuguan,CN,39.82,98.3,7.84,78,5,4.09,clear sky
329,Rio Grande,BR,-32.03,-52.1,84.31,74,39,18.25,scattered clouds
330,Guanare,VE,9.04,-69.74,91.42,46,27,6.91,scattered clouds
331,Upata,VE,8.01,-62.4,82.18,58,58,4.72,broken clouds
332,Hearst,CA,49.68,-83.67,30.45,81,100,16.4,overcast clouds
333,Fandriana,MG,-20.23,47.38,63.9,88,99,2.71,moderate rain
334,Umba,RU,66.69,34.34,30.0,92,100,5.03,overcast clouds
335,Salvador,SV,13.83,-88.92,80.06,64,33,3.09,scattered clouds
336,Sakakah,SA,29.97,40.21,62.17,56,0,6.6,clear sky
337,Fuyu,CN,45.18,124.82,3.07,55,4,14.0,clear sky
338,Taganak,PH,6.08,118.3,80.74,84,100,14.92,moderate rain
339,Kharp,RU,66.8,65.81,-3.3,99,59,3.18,broken clouds
340,Loukhi,RU,66.08,33.04,27.1,95,100,3.69,overcast clouds
341,Hamilton,US,39.18,-84.53,36.86,65,0,19.57,clear sky
342,Oxford,GB,51.75,-1.26,48.74,89,75,5.75,broken clouds
343,Lagoa,PT,39.05,-27.98,62.28,76,0,9.26,clear sky
344,Mecca,SA,21.43,39.83,81.84,57,92,7.38,overcast clouds
345,Flinders,AU,-34.58,150.86,55.26,82,90,4.34,overcast clouds
346,Rio Hato,PA,8.38,-80.17,80.15,78,40,3.44,scattered clouds
347,Soe,ID,-9.86,124.28,66.85,92,90,2.86,overcast clouds
348,Belyy Yar,RU,53.6,91.39,-14.91,76,20,0.0,few clouds
349,Lima,PE,-12.04,-77.03,70.05,73,75,10.36,broken clouds
350,Noumea,NC,-22.28,166.46,81.0,99,30,4.72,scattered clouds
351,Byron Bay,AU,-28.65,153.62,61.95,89,100,12.57,light rain
352,Ningxiang,CN,37.34,111.21,12.02,17,24,5.66,few clouds
353,Tuy Hoa,VN,13.08,109.3,75.7,92,100,5.55,overcast clouds
354,Vao,NC,-22.67,167.48,77.54,84,49,6.46,scattered clouds
355,Katsuura,JP,35.13,140.3,55.06,83,100,22.97,overcast clouds
356,Bulgan,MN,48.81,103.53,-10.64,88,30,3.2,scattered clouds
357,Buncrana,IE,55.13,-7.45,51.57,86,99,11.48,light rain
358,Nhulunbuy,AU,-12.23,136.77,77.61,94,100,0.0,overcast clouds
359,Akdepe,TM,42.06,59.38,24.89,31,1,7.43,clear sky
360,Porto Novo,BJ,6.5,2.6,87.62,64,79,8.84,broken clouds
361,Sholapur,IN,17.68,75.92,71.02,35,1,11.56,clear sky
