City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Concepcion,CL,62.4,scattered clouds,-36.83,-73.05,Hotel Terrano
598,Pasighat,IN,65.48,scattered clouds,28.07,95.33,Aane Hotel
621,San Cristobal,VE,68.18,overcast clouds,7.77,-72.22,Ciudadela
622,Henties Bay,,63.72,clear sky,-22.12,14.28,Huis Klipdrift
624,Manhattan,US,55.65,light rain,40.78,-73.97,La Quinta Inn
625,Hervey Bay,AU,69.35,light rain,-25.3,152.85,Hervey Bay Hotel
628,Bulawayo,ZW,74.93,clear sky,-20.15,28.58,Manor Hotel
630,Ewa Beach,US,74.41,overcast clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
632,Marsa Matruh,EG,67.19,clear sky,31.35,27.25,راضي
642,Viedma,AR,72.43,overcast clouds,-40.81,-63.0,Peumayén
645,Pokhara,NP,58.98,clear sky,28.23,83.98,Kaushal Hotel
651,Ibra,OM,71.71,broken clouds,22.69,58.53,الدكيك
652,Sibu,MY,73.99,overcast clouds,2.3,111.82,Towermas Hotel
659,Nador,MA,62.85,clear sky,35.17,-2.93,Hotel Lixus
674,Nouadhibou,MR,67.69,clear sky,20.93,-17.03,Hotel valencia
685,Arrecife,ES,73.38,few clouds,28.96,-13.55,Miramar
698,Inongo,CD,72.0,overcast clouds,-1.95,18.27,Chez LELE IYOLO
706,Huarmey,PE,72.61,broken clouds,-10.07,-78.15,Hospedaje Juanita
711,Mwingi,KE,65.84,light rain,-0.93,38.06,Greenvast Hotel
718,Sebeta,ET,60.84,few clouds,8.92,38.62,Tawabach Hotel
726,Kotri,PK,73.72,clear sky,25.37,68.31,Allah Badshah Restaurant
734,Paita,PE,72.82,broken clouds,-5.09,-81.11,Victor's
742,Seddon,AU,56.61,broken clouds,-37.81,144.89,Palms Hotel
746,Llanes,ES,57.88,overcast clouds,43.42,-4.75,Mira Olas
750,Barillas,GT,70.45,scattered clouds,15.8,-91.32,Pensión el quetzal
